A00-01-01;Colera
P03-16-01;Feto e neonato affetti da altre complicanze del travaglio e del parto
P04-16-01;Feto e neonato affetti da effetti nocivi trasmessi per via placentare o tramite il latte materno
P05-16-02;Ritardo di crescita e malformazione del feto
P07-16-02;Disturbi correlati a gestazione breve ed a basso peso alla nascita, non classificati altrove
P08-16-02;Disturbi correlati a gestazione prolungata e ad elevato peso alla nascita
P10-16-03;Lacerazioni ed emorragie intracraniche da traumi da parto
P11-16-03;Altre lesioni del sistema nervoso centrale da trauma da parto
P12-16-03;Trauma da parto del cuoio capelluto
P13-16-03;Trauma da parto dello scheletro
P14-16-03;Trauma da parto del sistema nervoso periferico
P15-16-03;Altro trauma da parto
P20-16-04;Ipossia intrauterina
P21-16-04;Asfissia alla nascita
P22-16-04;Sofferenza (distress) respiratoria(o) del neonato
P23-16-04;Polmonite congenita
P24-16-04;Sindrome di aspirazione neonatale
P25-16-04;Enfisema interstiziale e condizioni morbose correlate che hanno origine nel periodo perinatale
P26-16-04;Emorragia polmonare che ha origine nel periodo perinatale
P27-16-04;Malattia respiratoria cronica che ha origine nel periodo perinatale
P28-16-04;Altre condizioni morbose respiratorie che hanno origine nel periodo perinatale
P29-16-04;Disturbi cardiovascolari che hanno origine nel periodo perinatale
P35-16-05;Malattie virali congenite
P36-16-05;Sepsi batterica del neonato
P37-16-05;Altre malattie infettive e parassitarie congenite
P38-16-05;Onfalite del neonato con o senza lieve emorragia
P39-16-05;Altre infezioni specifiche del periodo perinatale
P50-16-06;Perdita di sangue fetale
P51-16-06;Emorragia ombelicale del neonato
P52-16-06;Emorragia intracranica non traumatica del feto e del neonato
P53-16-06;Malattia emorragica del feto e del neonato
P54-16-06;Altre emorragie neonatali
P55-16-06;Malattia emolitica del feto e del neonato
P56-16-06;Idrope fetale dovuta a malattia emolitica
P57-16-06;Ittero nucleare (kernicterus)
P58-16-06;Ittero del neonato da altre emolisi eccessive
P59-16-06;Ittero del neonato dovuto ad altre e non specificate cause
P60-16-06;Coagulazione intravasale disseminata del feto e del neonato
P61-16-06;Altri disturbi ematologici del periodo perinatale
P70-16-07;Disturbi transitori del metabolismo dei carboidrati specifici del feto e del neonato
P71-16-07;Disturbi transitori del metabolismo del calcio e del magnesio del neonato
P72-16-07;Altri disturbi endocrini transitori del neonato
P74-16-07;Altri disturbi elettrolitici e metabolici transitori del neonato
P75-16-08;Ileo da meconio (E84 1)
P76-16-08;Altra ostruzione intestinale del neonato
P77-16-08;Enterocolite necrotizzante del feto e del neonato
P78-16-08;Altri disturbi perinatali dell’apparato digerente
P80-16-09;Ipotermia del neonato
P81-16-09;Altri disturbi della termoregolazione del neonato
P83-16-09;Altre condizioni morbose della cute specifiche del feto e del neonato
P90-16-10;Convulsioni del neonato
P91-16-10;Altri disturbi cerebrali del neonato
P92-16-10;Problemi d’alimentazione del neonato
P93-16-10;Reazioni ed intossicazione da farmaci somministrati al feto ed al neonato
P94-16-10;Disturbi del tono muscolare del neonato
P95-16-10;Morte fetale per causa non specificata
P96-16-10;Altre condizioni morbose che hanno origine nel periodo perinatale
Q00-17-01;Anencefalia e malformazioni similari
Q01-17-01;Encefalocele
Q02-17-01;Microcefalia
Q03-17-01;Idrocefalo congenito
Q04-17-01;Altre malformazioni congenite dell’encefalo
Q05-17-01;Spina bifida
Q06-17-01;Altre malformazioni congenite del midollo spinale
Q07-17-01;Altre malformazioni congenite del sistema nervoso
Q10-17-02;Malformazioni congenite delle palpebre, dell''apparato lacrimale e dell''orbita
Q11-17-02;Anoftalmo, microftalmo e macroftalmo
Q12-17-02;Malformazioni congenite del cristallino
Q13-17-02;Malformazioni congenite del segmento anteriore dell''occhio
Q14-17-02;Malformazioni congenite del segmento posteriore dell''occhio
Q15-17-02;Altre malformazioni congenite dell''occhio
Q16-17-02;Malformazioni congenite dell''orecchio causanti deficit uditivo
Q17-17-02;Altre malformazioni congenite dell''orecchio
Q18-17-02;Altre malformazioni congenite della faccia e del collo
Q20-17-03;Malformazioni congenite delle cavita'' e delle connessioni cardiache
Q21-17-03;Malformazioni congenite dei setti cardiaci
Q22-17-03;Malformazioni congenite della valvola polmonare e della valvola tricuspide
Q23-17-03;Malformazioni congenite della valvola aortica e della mitrale
Q24-17-03;Altre malformazioni congenite del cuore
Q25-17-03;Malformazioni congenite delle grandi arterie
Q26-17-03;Malformazioni congenite dei grossi vasi venosi
Q27-17-03;Altre malformazioni congenite del sistema vascolare periferico
Q28-17-03;Altre malformazioni congenite dell''apparato circolatorio
Q30-17-04;Malformazioni congenite del naso
Q31-17-04;Malformazioni congenite della laringe
Q32-17-04;Malformazioni congenite della trachea e dei bronchi
Q33-17-04;Malformazioni congenite del polmone
Q34-17-04;Altre malformazioni congenite dell''apparato respiratorio
Q35-17-05;Schisi del palato
Q36-17-05;Schisi del labbro
Q37-17-05;Palatoschisi con cheiloschisi
Q38-17-06;Altre malformazioni congenite della lingua, della bocca e della faringe
Q39-17-06;Malformazioni congenite dell''esofago
Q40-17-06;Altre malformazioni congenite delle vie digerenti superiori
Q41-17-06;Assenza, atresia e stenosi congenite dell''intestino tenue
Q42-17-06;Assenza, atresia e stenosi congenite del colon
Q43-17-06;Altre malformazioni congenite dell''intestino
Q44-17-06;Malformazioni congenite della colecisti, delle vie biliari e del fegato
Q45-17-06;Altre malformazioni congenite dell''apparato digerente
Q50-17-07;Malformazioni congenite delle ovaie, delle tube di Fallopio e dei legamenti larghi
Q51-17-07;Malformazioni congenite dell''utero e della cervice uterina
Q52-17-07;Altre malformazioni congenite degli organi genitali femminili
Q53-17-07;Ritenzione testicolare
Q54-17-07;Ipospadia
Q55-17-07;Altre malformazioni congenite degli organi genitali maschili
Q56-17-07;Sesso indeterminato e pseudoermafroditismo
Q60-17-08;Agenesia renale ed altri difetti per riduzione del rene
Q61-17-08;Malattia cistica del rene
Q62-17-08;Anomalie ostruttive congenite del bacinetto renale e malformazioni congenite dell’uretere
Q63-17-08;Altre malformazioni congenite del rene
Q64-17-08;Altre malformazioni congenite dell''apparato urinario
Q65-17-09;Deformazioni congenite dell''anca
Q66-17-09;Deformazioni congenite dei piedi
Q67-17-09;Deformazioni congenite osteomuscolari della testa, della faccia, della colonna vertebrale e del torace
Q68-17-09;Altre deformazioni congenite osteomuscolari
Q69-17-09;Polidattilia
Q70-17-09;Sindattilia
Q71-17-09;Malformazioni, per difetto, di arto superiore
Q72-17-09;Malformazioni, per difetto, di arto inferiore
Q73-17-09;Malformazione, per difetto, di arto non specificato
Q74-17-09;Altre malformazioni congenite di arto(i)
Q75-17-09;Altre malformazioni congenite del cranio e di ossa della faccia
Q76-17-09;Malformazioni congenite della colonna vertebrale e della gabbia toracica
Q77-17-09;Osteocondrodisplasia con difetti di crescita delle ossa lunghe e della colonna vertebrale
Q78-17-09;Altre osteocondrodisplasie
Q79-17-09;Malformazioni congenite del sistema osteomuscolare non classificate altrove
Q80-17-10;Ittiosi congenita
Q81-17-10;Epidermolisi bollosa
Q82-17-10;Altre malformazioni congenite della cute
Q83-17-10;Malformazioni congenite della mammella
Q84-17-10;Altre malformazioni congenite del tegumento
Q85-17-10;Facomatosi non classificate altrove
Q86-17-10;Sindromi malformative congenite da cause esogene conosciute, non classificate altrove
Q87-17-10;Altre sindromi malformative congenite, specificate, di apparati multipli
Q89-17-10;Altre malformazioni congenite non classificate altrove
Q90-17-11;Sindrome di Down
Q91-17-11;Sindrome di Edwards e sindrome di Patau
Q92-17-11;Altre trisomie e trisomie parziali di autosomi non classificate altrove
Q93-17-11;Monosomie e delezioni di autosomi non classificate altrove
Q95-17-11;Riarrangiamenti bilanciati e marcatori strutturali non classificati altrove
Q96-17-11;Sindrome di Turner
Q97-17-11;Altre anomalie dei cromosomi sessuali, fenotipo femminile, non classificate altrove
Q98-17-11;Altre anomalie dei cromosomi sessuali, fenotipo maschile, non classificate altrove
Q99-17-11;Altre anomalie dei cromosomi non classificate altrove
R00-18-01;Anormalita'' del battito cardiaco
R01-18-01;Soffi ed altri rumori cardiaci
R02-18-01;Gangrena non classificata altrove
R03-18-01;Riscontro, non diagnostico, di valore anormale di pressione sanguigna arteriosa
R04-18-01;Emorragia delle vie respiratorie
R05-18-01;Tosse
R06-18-01;Anormalita'' respiratorie
R07-18-01;Dolore alla gola e dolore toracico
R09-18-01;Altri sintomi e segni che interessano gli apparati circolatorio e respiratorio
R10-18-02;Dolore addominale e pelvico
R11-18-02;Nausea e vomito
R12-18-02;Pirosi
R13-18-02;Disfagia
R14-18-02;Flatulenza e condizioni morbose correlate
R15-18-02;Incontinenza fecale
R16-18-02;Epatomegalia e splenomegalia non classificate altrove
R17-18-02;Ittero non specificato
R18-18-02;Ascite
R19-18-02;Altri sintomi e segni che interessano l''apparato digerente e l''addome
R20-18-03;Disturbi della sensibilita'' cutanea
R21-18-03;Rash ed altre eruzioni cutanee non specifiche
R22-18-03;Tumefazione, massa e gonfiore, localizzati, della cute e del tessuto sottocutaneo
R23-18-03;Altre alterazioni cutanee
R25-18-04;Movimenti involontari anormali
R26-18-04;Anormalita'' dell''andatura e della motilita''
R27-18-04;Altra mancanza di coordinazione
R29-18-04;Altri sintomi e segni che interessano il sistema nervoso ed il sistema osteomuscolare
R30-18-05;Dolore associato alla minzione
R31-18-05;Ematuria non specificata
R32-18-05;Incontinenza urinaria non specificata
R33-18-05;Ritenzione urinaria
R34-18-05;Anuria e oliguria
R35-18-05;Poliuria
R36-18-05;Secrezione uretrale
R39-18-05;Altri sintomi e segni che interessano l''apparato urinario
R40-18-06;Sonnolenza, stupor e coma
R41-18-06;Altri sintomi e segni che interessano le funzioni cognitive e lo stato di coscienza
R42-18-06;Vertigine ed instabilita''
R43-18-06;Disturbi dell''olfatto e del gusto
R44-18-06;Altri sintomi e segni che interessano le sensazioni e le percezioni generali
R45-18-06;Sintomi e segni che interessano lo stato emotivo
R46-18-06;Sintomi e segni che interessano l''aspetto e il comportamento
R47-18-07;Disturbi del linguaggio non classificati altrove
R48-18-07;Dislessia ed altre disfunzioni simboliche non classificate altrove
R49-18-07;Disturbi della voce
R50-18-08;Febbre di origine sconosciuta
R51-18-08;Cefalea
R52-18-08;Dolore non classificato altrove
R53-18-08;Malessere ed affaticamento
R54-18-08;Senilita''
R55-18-08;Sincope e collasso
R56-18-08;Convulsioni non classificate altrove
R57-18-08;Shock non classificato altrove
R58-18-08;Emorragia non classificata altrove
R59-18-08;Adenomegalia
R60-18-08;Edema non classificato altrove
R61-18-08;Iperidrosi
R62-18-08;Ritardo del normale sviluppo fisiologico
R63-18-08;Sintomi e segni che interessano l’assunzione di cibo e liquidi
R64-18-08;Cachessia
R68-18-08;Altri sintomi e segni generali
R69-18-08;Cause sconosciute e non specificate di morbosita''
R70-18-09;Aumento della velocita'' di eritrosedimentazione e anormalita'' della viscosita'' plasmatica
R71-18-09;Anomalie dei globuli rossi
R72-18-09;Anomalita'' dei globuli bianchi non classificate altrove
R73-18-09;Aumento della glicemia
R74-18-09;Tassi anormali di enzimi sierici
R75-18-09;Messa in evidenza, con esami di laboratorio, del virus dell''immunodeficienza umana (HIV)
R76-18-09;Altri risultati immunologici sierici anormali
R77-18-09;Altri risultati anormali delle proteine plasmatiche
R78-18-09;Presenza nel sangue di farmaci ed altre sostanze, normalmente assenti
R79-18-09;Altri risultati anormali di esami chimici del sangue
R80-18-10;Proteinuria isolata
R81-18-10;Glicosuria
R82-18-10;Altri risultati anormali delle urine
R83-18-11;Risultato anormale di esame del liquido cerebrospinale
R84-18-11;Risultati anormali di prelievo di campioni effettuato su organi delle vie respiratorie e dal torace
R85-18-11;Risultati anormali di prelievo di campioni effettuato su organi dell''apparato digerente e della cavita'' addominale
R86-18-11;Risultati anormali di prelievo di campioni effettuato su organi genitali maschili
R87-18-11;Risultati anormali di prelievo di campioni effettuato su organi genitali femminili
R89-18-11;Risultati anormali di prelievo di campioni effettuato su altri organi, apparati e tessuti
R90-18-12;Risultati anormali di diagnostica per immagini del sistema nervoso centrale
R91-18-12;Risultati anormali di diagnostica per immagini del polmone
R92-18-12;Risultati anormali di diagnostica per immagini della mammella
R93-18-12;Risultati anormali di diagnostica per immagini di altre parti del corpo
R94-18-12;Risultati anormali di esami per studi di funzionalita''
R95-18-13;Sindrome della morte improvvisa nell’infanzia
R96-18-13;Altra morte improvvisa da causa sconosciuta
R98-18-13;Morte senza assistenza
R99-18-13;Altre mal definite e sconosciute cause di mortalita''
S00-19-01;Traumatismo superficiale della testa
S01-19-01;Ferita aperta della testa
S02-19-01;Frattura del cranio e di ossa facciali
S03-19-01;Lussazione, distorsione e distrazione di articolazioni e di legamenti della testa
S04-19-01;Traumatismo di nervi cranici
S05-19-01;Traumatismo dell''occhio e dell''orbita
S06-19-01;Traumatismo intracranico
S07-19-01;Traumatismo da schiacciamento della testa
S08-19-01;Amputazione traumatica di parte della testa
S09-19-01;Altri e non specificati traumatismi della testa
S10-19-02;Traumatismo superficiale del collo
S11-19-02;Ferita aperta del collo
S12-19-02;Frattura del collo
S13-19-02;Lussazione, distorsione e distrazione di articolazioni e di legamenti a livello del collo
S14-19-02;Traumatismo di nervi e del midollo spinale a livello del collo
S15-19-02;Traumatismo di vasi sanguigni a livello del collo
S16-19-02;Traumatismo di muscoli e di tendini a livello del collo
S17-19-02;Traumatismo da schiacciamento del collo
S18-19-02;Amputazione traumatica a livello del collo
S19-19-02;Altri e non specificati traumatismi del collo
S20-19-03;Traumatismo superficiale del torace
S21-19-03;Ferita aperta del torace
S22-19-03;Frattura di costola(e), sterno e colonna toracica
S23-19-03;Lussazione, distorsione e distrazione di articolazioni e di legamenti del torace
S24-19-03;Traumatismo di nervi e del midollo spinale a livello del torace
S25-19-03;Traumatismo di vasi sanguigni del torace
S26-19-03;Traumatismo del cuore
S27-19-03;Traumatismi di altri e non specificati organi intratoracici
S28-19-03;Traumatismo da schiacciamento del torace e amputazione traumatica di parte del torace
S29-19-03;Altri e non specificati traumatismi del torace
S30-19-04;Traumatismo superficiale dell''addome, dei lombi e della pelvi
S31-19-04;Ferita aperta dell''addome, dei lombi e della pelvi
S32-19-04;Frattura della colonna lombare e della pelvi
S33-19-04;Lussazione, distorsione e distrazione di articolazioni e di legamenti della colonna vertebrale lombare e della pelvi
S34-19-04;Traumatismo di nervi e del midollo spinale lombare a livello dell''addome, dei lombi e della pelvi
S35-19-04;Traumatismo di vasi sanguigni a livello dell''addome, dei lombi e della pelvi
S36-19-04;Traumatismo di organi intraaddominali
S37-19-04;Traumatismo di organi urinari e pelvici
S38-19-04;Traumatismo da schiacciamento ed amputazione traumatica di parte dell''addome, dei lombi e della pelvi
S39-19-04;Altri e non specificati traumatismi dell''addome, dei lombi e della pelvi
S40-19-05;Traumatismo superficiale della spalla e del braccio
S41-19-05;Ferita aperta della spalla e del braccio
S42-19-05;Frattura della spalla e del braccio
S43-19-05;Lussazione, distorsione e distrazione di articolazioni e di legamenti del cingolo scapolo omerale
S44-19-05;Traumatismo di nervi a livello della spalla e del braccio
S45-19-05;Traumatismo di vasi sanguigni a livello della spalla e del braccio
S46-19-05;Traumatismo di muscoli e di tendini a livello della spalla e del braccio
S47-19-05;Traumatismi da schiacciamento della spalla e del braccio
S48-19-05;Amputazione traumatica della spalla e del braccio
S49-19-05;Altri e non specificati traumatismi della spalla e del braccio
S50-19-06;Traumatismo superficiale del gomito e dell''avambraccio
S51-19-06;Ferita aperta dell''avambraccio
S52-19-06;Frattura dell''avambraccio
S53-19-06;Lussazione, distorsione e distrazione di articolazioni e di legamenti del gomito
S54-19-06;Traumatismo di nervi a livello dell''avambraccio
S55-19-06;Traumatismo di vasi sanguigni a livello dell''avambraccio
S56-19-06;Traumatismo di muscoli e di tendini a livello dell''avambraccio
S57-19-06;Traumatismo da schiacciamento dell''avambraccio
S58-19-06;Amputazione traumatica del gomito e dell''avambraccio
S59-19-06;Altri e non specificati traumatismi dell''avambraccio
S60-19-07;Traumatismo superficiale del polso e della mano
S61-19-07;Ferita aperta del polso e della mano
S62-19-07;Frattura a livello del polso e della mano
S63-19-07;Lussazione, distorsione e distrazione di articolazioni e di legamenti a livello del polso e della mano
S64-19-07;Traumatismo di nervi a livello del polso e della mano
S65-19-07;Traumatismo di vasi sanguigni a livello del polso e della mano
S66-19-07;Traumatismo di muscoli e di tendini a livello del polso e della mano
S67-19-07;Traumatismo da schiacciamento del polso e della mano
S68-19-07;Amputazione traumatica del polso e della mano
S69-19-07;Altri e non specificati traumatismi del polso e della mano
S70-19-08;Traumatismo superficiale dell''anca e della coscia
S71-19-08;Ferita aperta dell''anca e della coscia
S72-19-08;Frattura del femore
S73-19-08;Lussazione, distorsione e distrazione dell''articolazione e di legamenti dell''anca
S74-19-08;Traumatismo di nervi a livello dell''anca e della coscia
S75-19-08;Traumatismo di vasi sanguigni a livello dell''anca e della coscia
S76-19-08;Traumatismo di muscoli e di tendini a livello dell''anca e della coscia
S77-19-08;Traumatismo da schiacciamento dell''anca e della coscia
S78-19-08;Amputazione traumatica dell''anca e della coscia
S79-19-08;Altri e non specificati traumatismi dell''anca e della coscia
S80-19-09;Traumatismo superficiale della gamba
S81-19-09;Ferita aperta della gamba
S82-19-09;Frattura della gamba, compresa la caviglia
S83-19-09;Lussazione, distorsione e distrazione di articolazioni e di legamenti del ginocchio
S84-19-09;Traumatismo di nervi a livello della gamba
S85-19-09;Traumatismo di vasi sanguigni a livello della gamba
S86-19-09;Traumatismo di muscoli e di tendini a livello della gamba
S87-19-09;Traumatismo da schiacciamento della gamba
S88-19-09;Amputazione traumatica della gamba
S89-19-09;Altri e non specificati traumatismi della gamba
S90-19-10;Traumatismo superficiale della caviglia e del piede
S91-19-10;Ferita aperta della caviglia e del piede
S92-19-10;Frattura del piede eccetto la caviglia
S93-19-10;Lussazione, distorsione e distrazione di articolazioni e di legamenti a livello della caviglia e del piede
S94-19-10;Traumatismo di nervi a livello della caviglia e del piede
S95-19-10;Traumatismo di vasi sanguigni a livello della caviglia e del piede
S96-19-10;Traumatismo di muscoli e di tendini a livello della caviglia e del piede
S97-19-10;Traumatismo da schiacciamento della caviglia e del piede
S98-19-10;Amputazione traumatica della caviglia e del piede
S99-19-10;Altri e non specificati traumatismi della caviglia e del piede
T00-19-11;Traumatismi superficiali interessanti regioni corporee multiple
T01-19-11;Ferite aperte interessanti regioni corporee multiple
T02-19-11;Fratture interessanti regioni corporee multiple
T03-19-11;Lussazioni, distorsioni e distrazioni interessanti regioni corporee multiple
T04-19-11;Traumatismi da schiacciamento interessanti regioni corporee multiple
T05-19-11;Amputazioni traumatiche interessanti regioni corporee multiple
T06-19-11;Altri traumatismi interessanti regioni corporee multiple non classificati altrove
T07-19-11;Traumatismi multipli non specificati
T08-19-12;Frattura della colonna vertebrale, livello non specificato
T09-19-12;Altri traumatismi della colonna vertebrale e del tronco, livello non specificato
T10-19-12;Frattura di arto superiore, livello non specificato
T11-19-12;Altri traumatismi di arto superiore, livello non specificato
T12-19-12;Frattura di arto inferiore, livello non specificato
T13-19-12;Altri traumatismi di arto inferiore, livello non specificato
T14-19-12;Traumatismo di regione corporea non specificata
T15-19-13;Corpo estraneo nella parte esterna dell''occhio
T16-19-13;Corpo estraneo nell''orecchio
T17-19-13;Corpo estraneo nelle vie respiratorie
T18-19-13;Corpo estraneo nell’apparato digerente
T19-19-13;Corpo estraneo nell’apparato genitourinario
T20-19-14;Ustione e corrosione della testa e del collo
T21-19-14;Ustione e corrosione del tronco
T22-19-14;Ustione e corrosione della spalla e dell''arto superiore, tranne polso e mano
T23-19-14;Ustione e corrosione del polso e della mano
T24-19-14;Ustione e corrosione di anca e di arto inferiore, tranne la caviglia e il piede
T25-19-14;Ustione e corrosione della caviglia e del piede
T26-19-15;Ustione e corrosione limitate all''occhio e agli annessi oculari
T27-19-15;Ustione e corrosione delle vie respiratorie
T28-19-15;Ustione e corrosione di altri organi interni
T29-19-16;Ustioni e corrosioni di regioni corporee multiple
T30-19-16;Ustione e corrosione, regione corporea non specificata
T31-19-16;Ustioni classificate secondo l''estensione della superficie corporea interessata
T32-19-16;Corrosioni classificate secondo l''estensione della superficie corporea interessata
T33-19-17;Congelamento superficiale
T34-19-17;Congelamento con necrosi tessutale
T35-19-17;Congelamento interessante regioni corporee multiple e congelamento non specificato
T36-19-18;Avvelenamento da antibiotici sistemici
T37-19-18;Avvelenamento da altri agenti anti infettivi ed antiparassitari sistemici
T38-19-18;Avvelenamento da ormoni e loro sostitutivi sintetici ed antagonisti non classificati altrove
T39-19-18;Avvelenamento da analgesici non oppiacei, antipiretici e antireumatici
T40-19-18;Avvelenamento da narcotici e psicodislettici (allucinogeni)
T41-19-18;Avvelenamento da anestetici e gas terapeutici
T42-19-18;Avvelenamento da farmaci antiepilettici, sedativi ipnotici e antiparkinsoniani
T43-19-18;Avvelenamento da farmaci psicotropi non classificati altrove
T44-19-18;Avvelenamento da farmaci agenti principalmente sul sistema nervoso autonomo
T45-19-18;Avvelenamento da agenti ad azione principalmente sistemica e sostanze ematologiche non classificati altrove
T46-19-18;Avvelenamento da farmaci agenti principalmente sul sistema cardiovascolare
T47-19-18;Avvelenamento da farmaci agenti principalmente sull''apparato gastrointestinale
T48-19-18;Avvelenamento da farmaci agenti principalmente sulla muscolatura liscia e striata e sull''apparato respiratorio
T49-19-18;Avvelenamento da sostanze, ad uso topico, agenti principalmente sulla cute e sulle mucose e da farmaci per uso oftalmologico, otorinolaringologico ed odontoiatrico
T50-19-18;Avvelenamento da diuretici e altri e non specificati farmaci, medicamenti e sostanze biologiche
T51-19-19;Effetto tossico dell''alcol
T52-19-19;Effetto tossico di solventi organici
T53-19-19;Effetto tossico di derivati alogenati degli idrocarburi alifatici e aromatici
T54-19-19;Effetto tossico di sostanze corrosive
T55-19-19;Effetto tossico di saponi e detergenti
T56-19-19;Effetto tossico di metalli
T57-19-19;Effetto tossico di altre sostanze inorganiche
T58-19-19;Effetto tossico del monossido di carbonio
T59-19-19;Effetto tossico di altri gas, fumi e vapori
T60-19-19;Effetto tossico di pesticidi
T61-19-19;Effetto tossico di sostanze nocive ingerite con i prodotti ittici
T62-19-19;Effetto tossico di altre sostanze nocive ingerite come cibo
T63-19-19;Effetto tossico derivante da contatto con animali velenosi
T64-19-19;Effetto tossico dell''aflatossina e di altre micotossine contaminanti il cibo
T65-19-19;Effetto tossico di altre e non specificate sostanze
T66-19-20;Effetti non specificati delle radiazioni
T67-19-20;Effetti del calore e della luce
T68-19-20;Ipotermia
T69-19-20;Altri effetti di una bassa temperatura
T70-19-20;Effetti della pressione dell''aria e dell''acqua
T71-19-20;Asfissia
T73-19-20;Effetti di altra privazione
T74-19-20;Sindromi da maltrattamento
T75-19-20;Effetti di altre cause esterne
T78-19-20;Effetti avversi non classificati altrove
T79-19-21;Alcune complicanze precoci di traumatismi, non classificate altrove
T80-19-22;Complicanze successive ad infusione, trasfusione od iniezione a fini terapeutici
T81-19-22;Complicanze di procedura diagnostiche o terapeutiche, non classificate altrove
T82-19-22;Complicanze di dispositivi protesici, impianti ed innesti cardiaci e vascolari
T83-19-22;Complicanze di dispositivi protesici, impianti ed innesti genitourinari
T84-19-22;Complicanze di dispositivi, impianti ed innesti protesici interni ortopedici
T85-19-22;Complicanze di altri dispositivi protesici, impianti ed innesti interni
T86-19-22;Insuccesso e rigetto di trapianto di organo o tessuto
T87-19-22;Complicanze peculiari di reimpianto ed amputazione
T88-19-22;Altre complicanze di cure chirurgiche e mediche non classificate altrove
T90-19-23;Sequele di traumatismi della testa
T91-19-23;Sequele di traumatismi del collo e del tronco
T92-19-23;Sequele di traumatismi di arto superiore
T93-19-23;Sequele di traumatismi di arto inferiore
T94-19-23;Sequele di traumatismi interessanti multiple e non specificate regioni corporee
T95-19-23;Sequele di ustioni, corrosioni e congelamento
T96-19-23;Sequele di avvelenamento da farmaci, droghe, medicamenti e sostanze biologiche
T97-19-23;Sequele di effetti tossici di sostanze principalmente di origine non medicamentosa
T98-19-23;Sequele di altri e non specificati effetti di cause esterne
